strain,stress_MPa
-0.0,-0.0
0.00199999995529652,0.000306750178497168
0.00399999991059303,0.000611693534447113
0.00700000002980232,0.00106577543730964
0.0115000002086163,0.00173956772283418
0.0182500004768372,0.00273430522822309
0.0283749997615814,0.00419224574812688
0.0435624986886978,0.00630769582116045
0.0635625004768372,0.00897498802980408
0.0835624992847443,0.0115219495468773
0.103562498092651,0.0139617666858248
0.123562502861023,0.0163053260231391
0.143562495708466,0.0185613431036472
0.163562500476837,0.0207367185736075
0.183562505245209,0.0228341192007065
0.2,0.0245086694555357
